cluster,n,RMSE,MAE,R2
0,456,0.48785080401896513,0.3986308982177863,0.8808533952736592
1,742,0.5711039938645048,0.465315520900864,0.8477864394667356
2,302,0.3066753918751824,0.23800211678193034,0.9434923592017633
